pos_x,pos_y,vel_x,vel_y,dest_x,dest_y,desired_speed,disease,immunity
8.0,0.0,0.0,0.0,-7.99331,0.00517298,1.31269,0.0,0.0
5.65685,5.65685,0.0,0.0,-5.64904,-5.6492,1.16016,0.0,0.0
-3.50E-07,8.0,0.0,0.0,0.00441949,-7.99779,1.36443,0.0,0.0
-5.65685,5.65685,0.0,0.0,5.65785,-5.65518,1.32302,0.0,0.0
-8.0,-6.99E-07,0.0,0.0,8.00833,0.00378721,1.18123,0.0,0.0
-5.65685,-5.65686,0.0,0.0,5.6644,5.65688,1.34866,0.0,0.0
9.54E-08,-8.0,0.0,0.0,7.36E-07,8.00885,1.38326,0.0,0.0
5.65686,-5.65685,0.0,0.0,-5.65266,5.66275,1.18452,0.0,0.0
